"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3845","VerifyUserCannotLoginWithUnregisteredEmail","Surefire suite","2026-01-29","passed","2026-01-29","Tests.LoginTest","Surefire test","Tests.LoginTest","VerifyUserCannotLoginWithUnregisteredEmail"
"","1243","failedTestToCHeckScreenshotFunction","Surefire suite","2026-01-29","failed","2026-01-29","Tests.AccountAccessTest","Surefire test","Tests.AccountAccessTest","failedTestToCHeckScreenshotFunction"
"","10862","verifyAccountPagesAccessWithoutLogin","Surefire suite","2026-01-29","passed","2026-01-29","Tests.AccountAccessTest","Surefire test","Tests.AccountAccessTest","verifyAccountPagesAccessWithoutLogin"
"","15251","verifyItemsAddedToCartCorrectly","Surefire suite","2026-01-29","passed","2026-01-29","Tests.CartTests","Surefire test","Tests.CartTests","verifyItemsAddedToCartCorrectly"
